Year,Month,RecreationVisits,UnitCode
2021,5,324654,ACAD
2021,6,661919,ACAD
2021,7,782146,ACAD
2021,8,795437,ACAD
2021,9,667301,ACAD
2021,10,557624,ACAD
2021,11,81089,ACAD
2021,12,14381,ACAD
2022,1,10411,ACAD
2022,2,13045,ACAD
2022,3,22476,ACAD
2022,4,105126,ACAD
2022,5,327466,ACAD
2022,6,603023,ACAD
2022,7,791358,ACAD
2022,8,785236,ACAD
2022,9,697292,ACAD
2022,10,521646,ACAD
2022,11,70675,ACAD
2022,12,22506,ACAD
2023,1,15217,ACAD
2023,2,15281,ACAD
2023,3,30822,ACAD
2023,4,102928,ACAD
2023,5,340425,ACAD
2023,6,566535,ACAD
2023,7,767956,ACAD
2023,8,774296,ACAD
2023,9,643506,ACAD
2023,10,541067,ACAD
2023,11,66987,ACAD
2023,12,14870,ACAD
1979,1,2970,ARCH
1979,2,3135,ARCH
1979,3,14659,ARCH
1979,4,31818,ARCH
1979,5,39266,ARCH
1979,6,43503,ARCH
1979,7,36524,ARCH
1979,8,43309,ARCH
1979,9,30813,ARCH
1979,10,15273,ARCH
1979,11,5492,ARCH
1979,12,3078,ARCH
1980,1,3599,ARCH
1980,2,4687,ARCH
1980,3,15915,ARCH
1980,4,27050,ARCH
1980,5,39099,ARCH
1980,6,47171,ARCH
1980,7,43685,ARCH
1980,8,47837,ARCH
1980,9,31387,ARCH
1980,10,16983,ARCH
1980,11,7481,ARCH
1980,12,5625,ARCH
1981,1,7144,ARCH
1981,2,6275,ARCH
1981,3,17024,ARCH
1981,4,30543,ARCH
1981,5,41614,ARCH
1981,6,51670,ARCH
1981,7,48711,ARCH
1981,8,52953,ARCH
1981,9,35795,ARCH
1981,10,20656,ARCH
1981,11,10157,ARCH
1981,12,3966,ARCH
1982,1,5531,ARCH
1982,2,6897,ARCH
1982,3,19703,ARCH
1982,4,29711,ARCH
1982,5,43011,ARCH
1982,6,55267,ARCH
1982,7,53035,ARCH
1982,8,52025,ARCH
1982,9,36934,ARCH
1982,10,18992,ARCH
1982,11,10845,ARCH
1982,12,7464,ARCH
1983,1,4672,ARCH
1983,2,6993,ARCH
1983,3,14734,ARCH
1983,4,20073,ARCH
1983,5,34040,ARCH
1983,6,38975,ARCH
1983,7,50659,ARCH
1983,8,50320,ARCH
1983,9,36578,ARCH
1983,10,20107,ARCH
1983,11,7384,ARCH
1983,12,3340,ARCH
1984,1,4021,ARCH
1984,2,4601,ARCH
1984,3,16732,ARCH
1984,4,30806,ARCH
1984,5,44454,ARCH
1984,6,58744,ARCH
1984,7,55728,ARCH
1984,8,57412,ARCH
1984,9,42668,ARCH
1984,10,18121,ARCH
1984,11,7059,ARCH
1984,12,4834,ARCH
1985,1,4727,ARCH
1985,2,4944,ARCH
1985,3,18033,ARCH
1985,4,36032,ARCH
1985,5,50174,ARCH
1985,6,56588,ARCH
1985,7,54484,ARCH
1985,8,61538,ARCH
1985,9,44554,ARCH
1985,10,21037,ARCH
1985,11,6217,ARCH
1985,12,5136,ARCH
1986,1,7070,ARCH
1986,2,6762,ARCH
1986,3,33700,ARCH
1986,4,36042,ARCH
1986,5,53931,ARCH
1986,6,62158,ARCH
1986,7,63528,ARCH
1986,8,68397,ARCH
1986,9,49456,ARCH
1986,10,23414,ARCH
1986,11,8425,ARCH
1986,12,6561,ARCH
1987,1,6015,ARCH
1987,2,6957,ARCH
1987,3,22167,ARCH
1987,4,43965,ARCH
1987,5,63510,ARCH
1987,6,69019,ARCH
1987,7,71987,ARCH
1987,8,80492,ARCH
1987,9,60969,ARCH
1987,10,28961,ARCH
1987,11,9904,ARCH
1987,12,4970,ARCH
1988,1,4145,ARCH
1988,2,6674,ARCH
1988,3,31382,ARCH
1988,4,45863,ARCH
1988,5,68712,ARCH
1988,6,79183,ARCH
1988,7,77160,ARCH
1988,8,80219,ARCH
1988,9,75694,ARCH
1988,10,34808,ARCH
1988,11,11253,ARCH
1988,12,5362,ARCH
1989,1,4687,ARCH
1989,2,5683,ARCH
1989,3,41135,ARCH
1989,4,51807,ARCH
1989,5,75599,ARCH
1989,6,80321,ARCH
1989,7,78010,ARCH
1989,8,88731,ARCH
1989,9,69361,ARCH
1989,10,37592,ARCH
1989,11,15113,ARCH
1989,12,7770,ARCH
1990,1,6440,ARCH
1990,2,8444,ARCH
1990,3,42372,ARCH
1990,4,71479,ARCH
1990,5,84912,ARCH
1990,6,90154,ARCH
1990,7,84017,ARCH
1990,8,97265,ARCH
1990,9,72310,ARCH
1990,10,40923,ARCH
1990,11,15192,ARCH
1990,12,7211,ARCH
1991,1,6307,ARCH
1991,2,11453,ARCH
1991,3,45466,ARCH
1991,4,60081,ARCH
1991,5,93762,ARCH
1991,6,104120,ARCH
1991,7,103591,ARCH
1991,8,116516,ARCH
1991,9,90407,ARCH
1991,10,51260,ARCH
1991,11,14808,ARCH
1991,12,8111,ARCH
1992,1,8016,ARCH
1992,2,12779,ARCH
1992,3,50228,ARCH
1992,4,82025,ARCH
1992,5,104639,ARCH
1992,6,109882,ARCH
1992,7,119021,ARCH
1992,8,124840,ARCH
1992,9,104561,ARCH
1992,10,58839,ARCH
1992,11,18150,ARCH
1992,12,6851,ARCH
1993,1,6036,ARCH
1993,2,8599,ARCH
1993,3,43551,ARCH
1993,4,74542,ARCH
1993,5,103852,ARCH
1993,6,102396,ARCH
1993,7,116886,ARCH
1993,8,118500,ARCH
1993,9,111614,ARCH
1993,10,60523,ARCH
1993,11,18951,ARCH
1993,12,8228,ARCH
1994,1,9904,ARCH
1994,2,12348,ARCH
1994,3,53504,ARCH
1994,4,74096,ARCH
1994,5,103871,ARCH
1994,6,98464,ARCH
1994,7,109497,ARCH
1994,8,115008,ARCH
1994,9,110027,ARCH
1994,10,61676,ARCH
1994,11,16776,ARCH
1994,12,12007,ARCH
1995,1,11055,ARCH
1995,2,15813,ARCH
1995,3,52952,ARCH
1995,4,76855,ARCH
1995,5,111925,ARCH
1995,6,116972,ARCH
1995,7,136258,ARCH
1995,8,127740,ARCH
1995,9,120634,ARCH
1995,10,66136,ARCH
1995,11,18025,ARCH
1995,12,5009,ARCH
1996,1,8183,ARCH
1996,2,14300,ARCH
1996,3,58978,ARCH
1996,4,79685,ARCH
1996,5,116552,ARCH
1996,6,111616,ARCH
1996,7,119378,ARCH
1996,8,128102,ARCH
1996,9,121734,ARCH
1996,10,63804,ARCH
1996,11,19972,ARCH
1996,12,13712,ARCH
1997,1,9422,ARCH
1997,2,13493,ARCH
1997,3,64176,ARCH
1997,4,70201,ARCH
1997,5,115568,ARCH
1997,6,114213,ARCH
1997,7,122626,ARCH
1997,8,131104,ARCH
1997,9,119450,ARCH
1997,10,66854,ARCH
1997,11,19933,ARCH
1997,12,11485,ARCH
1998,1,10450,ARCH
1998,2,12337,ARCH
1998,3,52467,ARCH
1998,4,75236,ARCH
1998,5,119525,ARCH
1998,6,116384,ARCH
1998,7,113040,ARCH
1998,8,120361,ARCH
1998,9,116137,ARCH
1998,10,68808,ARCH
1998,11,21875,ARCH
1998,12,10541,ARCH
1999,1,11967,ARCH
1999,2,15378,ARCH
1999,3,62198,ARCH
1999,4,69196,ARCH
1999,5,120213,ARCH
1999,6,118326,ARCH
1999,7,118042,ARCH
1999,8,124130,ARCH
1999,9,119657,ARCH
1999,10,71604,ARCH
1999,11,25888,ARCH
1999,12,13381,ARCH
2000,1,11505,ARCH
2000,2,14435,ARCH
2000,3,52392,ARCH
2000,4,77012,ARCH
2000,5,107856,ARCH
2000,6,106198,ARCH
2000,7,110434,ARCH
2000,8,104487,ARCH
2000,9,104706,ARCH
2000,10,65675,ARCH
2000,11,19787,ARCH
2000,12,11942,ARCH
2001,1,10566,ARCH
2001,2,12868,ARCH
2001,3,55082,ARCH
2001,4,73213,ARCH
2001,5,112865,ARCH
2001,6,99452,ARCH
2001,7,100281,ARCH
2001,8,97985,ARCH
2001,9,94814,ARCH
2001,10,60747,ARCH
2001,11,26363,ARCH
2001,12,9790,ARCH
2002,1,9951,ARCH
2002,2,18163,ARCH
2002,3,57348,ARCH
2002,4,76544,ARCH
2002,5,109130,ARCH
2002,6,101051,ARCH
2002,7,96566,ARCH
2002,8,97631,ARCH
2002,9,98581,ARCH
2002,10,67373,ARCH
2002,11,23134,ARCH
2002,12,14200,ARCH
2003,1,13326,ARCH
2003,2,13760,ARCH
2003,3,50242,ARCH
2003,4,70795,ARCH
2003,5,106873,ARCH
2003,6,101997,ARCH
2003,7,95296,ARCH
2003,8,99352,ARCH
2003,9,99639,ARCH
2003,10,72875,ARCH
2003,11,21343,ARCH
2003,12,12283,ARCH
2004,1,11571,ARCH
2004,2,11378,ARCH
2004,3,58919,ARCH
2004,4,79069,ARCH
2004,5,113248,ARCH
2004,6,94638,ARCH
2004,7,93569,ARCH
2004,8,83585,ARCH
2004,9,95276,ARCH
2004,10,58743,ARCH
2004,11,21208,ARCH
2004,12,11927,ARCH
2005,1,9894,ARCH
2005,2,16168,ARCH
2005,3,62843,ARCH
2005,4,71709,ARCH
2005,5,111718,ARCH
2005,6,110517,ARCH
2005,7,106555,ARCH
2005,8,103403,ARCH
2005,9,88218,ARCH
2005,10,63626,ARCH
2005,11,23813,ARCH
2005,12,13206,ARCH
2006,1,12841,ARCH
2006,2,20728,ARCH
2006,3,67550,ARCH
2006,4,84244,ARCH
2006,5,110564,ARCH
2006,6,102061,ARCH
2006,7,101297,ARCH
2006,8,107176,ARCH
2006,9,112335,ARCH
2006,10,72615,ARCH
2006,11,28087,ARCH
2006,12,13551,ARCH
2007,1,10681,ARCH
2007,2,15453,ARCH
2007,3,63618,ARCH
2007,4,90031,ARCH
2007,5,111652,ARCH
2007,6,109027,ARCH
2007,7,112167,ARCH
2007,8,106047,ARCH
2007,9,120301,ARCH
2007,10,77963,ARCH
2007,11,30536,ARCH
2007,12,12705,ARCH
2008,1,9095,ARCH
2008,2,13435,ARCH
2008,3,66408,ARCH
2008,4,83695,ARCH
2008,5,133195,ARCH
2008,6,124451,ARCH
2008,7,121038,ARCH
2008,8,129843,ARCH
2008,9,124268,ARCH
2008,10,80194,ARCH
2008,11,29604,ARCH
2008,12,13569,ARCH
2009,1,11684,ARCH
2009,2,15488,ARCH
2009,3,66898,ARCH
2009,4,91114,ARCH
2009,5,139332,ARCH
2009,6,140161,ARCH
2009,7,133854,ARCH
2009,8,133880,ARCH
2009,9,131913,ARCH
2009,10,86601,ARCH
2009,11,31714,ARCH
2009,12,13673,ARCH
2010,1,8713,ARCH
2010,2,11746,ARCH
2010,3,57623,ARCH
2010,4,93999,ARCH
2010,5,135670,ARCH
2010,6,151209,ARCH
2010,7,145489,ARCH
2010,8,139304,ARCH
2010,9,138442,ARCH
2010,10,89929,ARCH
2010,11,29343,ARCH
2010,12,12938,ARCH
2011,1,10182,ARCH
2011,2,12932,ARCH
2011,3,61950,ARCH
2011,4,96537,ARCH
2011,5,142251,ARCH
2011,6,155481,ARCH
2011,7,147426,ARCH
2011,8,138600,ARCH
2011,9,136246,ARCH
2011,10,92728,ARCH
2011,11,30863,ARCH
2011,12,15562,ARCH
2012,1,14961,ARCH
2012,2,17870,ARCH
2012,3,72273,ARCH
2012,4,103800,ARCH
2012,5,142876,ARCH
2012,6,143482,ARCH
2012,7,145696,ARCH
2012,8,139036,ARCH
2012,9,139801,ARCH
2012,10,96310,ARCH
2012,11,36170,ARCH
2012,12,18302,ARCH
2013,1,11099,ARCH
2013,2,16426,ARCH
2013,3,73935,ARCH
2013,4,108086,ARCH
2013,5,149321,ARCH
2013,6,154505,ARCH
2013,7,156182,ARCH
2013,8,147259,ARCH
2013,9,143755,ARCH
2013,10,57446,ARCH
2013,11,43928,ARCH
2013,12,20924,ARCH
2014,1,17038,ARCH
2014,2,22559,ARCH
2014,3,89841,ARCH
2014,4,122186,ARCH
2014,5,165379,ARCH
2014,6,170286,ARCH
2014,7,169844,ARCH
2014,8,173416,ARCH
2014,9,165222,ARCH
2014,10,115545,ARCH
2014,11,46940,ARCH
2014,12,26511,ARCH
2015,1,20699,ARCH
2015,2,34255,ARCH
2015,3,103649,ARCH
2015,4,138903,ARCH
2015,5,179804,ARCH
2015,6,189073,ARCH
2015,7,195748,ARCH
2015,8,173186,ARCH
2015,9,171711,ARCH
2015,10,115859,ARCH
2015,11,49087,ARCH
2015,12,27273,ARCH
2016,1,20311,ARCH
2016,2,33200,ARCH
2016,3,119122,ARCH
2016,4,151112,ARCH
2016,5,201718,ARCH
2016,6,211706,ARCH
2016,7,210359,ARCH
2016,8,188340,ARCH
2016,9,200906,ARCH
2016,10,146250,ARCH
2016,11,69404,ARCH
2016,12,33290,ARCH
2017,1,21549,ARCH
2017,2,38248,ARCH
2017,3,128508,ARCH
2017,4,155286,ARCH
2017,5,188726,ARCH
2017,6,193060,ARCH
2017,7,192767,ARCH
2017,8,177764,ARCH
2017,9,187603,ARCH
2017,10,138325,ARCH
2017,11,72867,ARCH
2017,12,44325,ARCH
2018,1,31810,ARCH
2018,2,40325,ARCH
2018,3,134951,ARCH
2018,4,167156,ARCH
2018,5,215255,ARCH
2018,6,214443,ARCH
2018,7,205493,ARCH
2018,8,183840,ARCH
2018,9,206254,ARCH
2018,10,147996,ARCH
2018,11,74155,ARCH
2018,12,41879,ARCH
2019,1,21499,ARCH
2019,2,30239,ARCH
2019,3,132191,ARCH
2019,4,168788,ARCH
2019,5,217474,ARCH
2019,6,225206,ARCH
2019,7,208993,ARCH
2019,8,184890,ARCH
2019,9,207857,ARCH
2019,10,149764,ARCH
2019,11,73420,ARCH
2019,12,39381,ARCH
2020,1,28462,ARCH
2020,2,42416,ARCH
2020,3,81623,ARCH
2020,4,0,ARCH
2020,5,13832,ARCH
2020,6,163699,ARCH
2020,7,193824,ARCH
2020,8,164539,ARCH
2020,9,203866,ARCH
2020,10,177864,ARCH
2020,11,103916,ARCH
2020,12,64042,ARCH
2021,1,48725,ARCH
2021,2,53986,ARCH
2021,3,151077,ARCH
2021,4,193914,ARCH
2021,5,225789,ARCH
2021,6,238499,ARCH
2021,7,211928,ARCH
2021,8,167686,ARCH
2021,9,193002,ARCH
2021,10,169983,ARCH
2021,11,98362,ARCH
2021,12,53914,ARCH
2022,1,40621,ARCH
2022,2,51568,ARCH
2022,3,141866,ARCH
2022,4,148996,ARCH
2022,5,172114,ARCH
2022,6,171859,ARCH
2022,7,158925,ARCH
2022,8,142790,ARCH
2022,9,158728,ARCH
2022,10,146986,ARCH
2022,11,83239,ARCH
2022,12,42960,ARCH
2023,1,31427,ARCH
2023,2,41264,ARCH
